    Gauss-Seidel method without dynamic relax	    1	    Timeout occured!	    1001.7	        98	
                                          SOR	 1.11	    Timeout occured!	   1000.79	       134	
                                          SOR	 1.12	    Timeout occured!	    1002.5	       135	
                                          SOR	 1.13	    Timeout occured!	   1005.33	       135	
                                          SOR	 1.14	    Timeout occured!	   1004.98	       135	
                                          SOR	 1.15	    Timeout occured!	   1002.97	       135	
                                          SOR	 1.16	    Timeout occured!	   1003.03	       133	
                                          SOR	 1.17	    Timeout occured!	   1005.84	       135	
                                          SOR	 1.18	    Timeout occured!	   1000.64	       134	
                                          SOR	 1.19	    Timeout occured!	   1003.78	       129	
                                          SOR	  1.2	    Timeout occured!	   1003.54	       111	
                                          SOR	 1.21	    Timeout occured!	   1005.84	       132	
                                          SOR	 1.22	    Timeout occured!	   1000.67	       135	
                                          SOR	 1.23	    Timeout occured!	   1008.59	       132	
                                          SOR	 1.24	    Timeout occured!	   1000.74	       138	
                                          SOR	 1.25	    Timeout occured!	   1001.62	       138	
                                          SOR	 1.26	    Timeout occured!	   1007.49	       136	
                                          SOR	 1.27	    Timeout occured!	   1001.97	       135	
                                          SOR	 1.28	    Timeout occured!	   1000.19	       133	
                                          SOR	 1.29	    Timeout occured!	   1002.69	       132	
                                          SOR	  1.3	    Timeout occured!	   1004.36	       131	
                                          SOR	 1.31	    Timeout occured!	   1002.11	       133	
                                          SOR	 1.32	    Timeout occured!	   1006.21	       136	
                                          SOR	 1.33	    Timeout occured!	   1002.05	       137	
                                          SOR	 1.34	    Timeout occured!	   1005.05	       136	
                                          SOR	 1.35	    Timeout occured!	    1006.4	       137	
                                          SOR	 1.36	    Timeout occured!	   1001.11	       136	
                                          SOR	 1.37	    Timeout occured!	   1001.59	       136	
                                          SOR	 1.38	    Timeout occured!	   1004.92	       136	
                                          SOR	 1.39	    Timeout occured!	   1006.16	       137	
                                          SOR	  1.4	    Timeout occured!	   1003.14	       137	
                                          SOR	 1.41	    Timeout occured!	   1000.15	       136	
                                          SOR	 1.42	    Timeout occured!	   1005.61	       137	
                                          SOR	 1.43	    Timeout occured!	   1006.51	       137	
                                          SOR	 1.44	    Timeout occured!	    1000.7	       137	
                                          SOR	 1.45	    Timeout occured!	   1003.26	       137	
                                          SOR	 1.46	    Timeout occured!	   1003.26	       136	
                                          SOR	 1.47	    Timeout occured!	    1001.3	       136	
                                          SOR	 1.48	    Timeout occured!	   1006.48	       137	
                                          SOR	 1.49	    Timeout occured!	   1006.46	       138	
                                          SOR	  1.5	    Timeout occured!	   1000.74	       137	
                                          SOR	 1.51	    Timeout occured!	   1003.06	       138	
                                          SOR	 1.52	    Timeout occured!	   1000.66	       138	
                                          SOR	 1.53	    Timeout occured!	   1007.32	       129	
                                          SOR	 1.54	    Timeout occured!	   1004.76	       134	
                                          SOR	 1.55	    Timeout occured!	   1003.33	       131	
                                          SOR	 1.56	    Timeout occured!	   1002.05	       137	
                                          SOR	 1.57	    Timeout occured!	   1000.37	       137	
                                          SOR	 1.58	    Timeout occured!	   1000.57	       132	
                                          SOR	 1.59	    Timeout occured!	    1000.7	       138	
                                          SOR	  1.6	    Timeout occured!	   1006.33	       138	
                                          SOR	 1.61	    Timeout occured!	    1004.1	       137	
                                          SOR	 1.62	    Timeout occured!	   1002.49	       137	
                                          SOR	 1.63	    Timeout occured!	    1003.4	       138	
                                          SOR	 1.64	    Timeout occured!	   1006.36	       138	
                                          SOR	 1.65	    Timeout occured!	   1006.14	       137	
                                          SOR	 1.66	    Timeout occured!	   1005.63	       137	
                                          SOR	 1.67	    Timeout occured!	   1006.69	       139	
                                          SOR	 1.68	    Timeout occured!	   1004.43	       138	
                                          SOR	 1.69	    Timeout occured!	   1007.31	       138	
                                          SOR	  1.7	    Timeout occured!	    1005.7	       137	
                                          SOR	 1.71	    Timeout occured!	   1006.02	       136	
                                          SOR	 1.72	    Timeout occured!	   1000.94	       128	
                                          SOR	 1.73	    Timeout occured!	   1001.48	       131	
                                          SOR	 1.74	    Timeout occured!	   1003.14	       135	
                                          SOR	 1.75	    Timeout occured!	   1004.36	       137	
                                          SOR	 1.76	    Timeout occured!	   1002.83	       138	
                                          SOR	 1.77	    Timeout occured!	   1002.88	       138	
                                          SOR	 1.78	    Timeout occured!	   1003.71	       137	
                                          SOR	 1.79	    Timeout occured!	   1004.56	       137	
                                          SOR	  1.8	    Timeout occured!	   1006.21	       138	
                                          SOR	 1.81	    Timeout occured!	   1003.22	       138	
                                          SOR	 1.82	    Timeout occured!	   1002.89	       128	
                                          SOR	 1.83	    Timeout occured!	   1003.22	       122	
                                          SOR	 1.84	    Timeout occured!	   1005.22	       123	
                                          SOR	 1.85	    Timeout occured!	   1006.99	       137	
                                          SOR	 1.86	    Timeout occured!	   1005.34	       136	
                                          SOR	 1.87	    Timeout occured!	   1011.85	       112	
                                          SOR	 1.88	    Timeout occured!	   1004.73	       122	
                                          SOR	 1.89	    Timeout occured!	   1004.05	       133	
                                          SOR	  1.9	    Timeout occured!	   1002.82	       135	
                                          SOR	 1.91	    Timeout occured!	   1003.81	       129	
                                          SOR	 1.92	    Timeout occured!	   1006.59	       136	
                                          SOR	 1.93	    Timeout occured!	   1001.45	       137	
                                          SOR	 1.94	    Timeout occured!	   1004.86	       138	
                                          SOR	 1.95	    Timeout occured!	   1006.38	       138	
                                          SOR	 1.96	    Timeout occured!	    1000.4	       138	
                                          SOR	 1.97	    Timeout occured!	      1004	       138	
                                          SOR	 1.98	    Timeout occured!	   1001.39	       138	
                                          SOR	 1.99	    Timeout occured!	   1002.08	       138	
