            Jacobi method with sub-relaxation	 0.89	    Compute complete	   576.682	      6242	
            Jacobi method with sub-relaxation	  0.9	    Timeout occured!	   1000.05	     10666	
            Jacobi method with sub-relaxation	 0.91	    Timeout occured!	   1000.05	     10765	
            Jacobi method with sub-relaxation	 0.92	    Timeout occured!	   1000.07	     10709	
            Jacobi method with sub-relaxation	 0.93	    Compute complete	   919.397	      9742	
            Jacobi method with sub-relaxation	 0.94	    Compute complete	   708.507	      7525	
            Jacobi method with sub-relaxation	 0.95	    Compute complete	   576.816	      6132	
            Jacobi method with sub-relaxation	 0.96	    Compute complete	   488.335	      5191	
            Jacobi method with sub-relaxation	 0.97	    Compute complete	   423.777	      4512	
            Jacobi method with sub-relaxation	 0.98	    Compute complete	   377.379	      3999	
            Jacobi method with sub-relaxation	 0.99	    Compute complete	   337.556	      3597	
            Jacobi method with sub-relaxation	    1	    Compute complete	   307.942	      3274	
            Jacobi method with sub-relaxation	 1.01	    Compute complete	   284.391	      3009	
            Jacobi method with sub-relaxation	 1.02	    Compute complete	   260.349	      2788	
            Jacobi method with sub-relaxation	 1.03	    Compute complete	    242.97	      2599	
            Jacobi method with sub-relaxation	 1.04	    Compute complete	    231.16	      2438	
            Jacobi method with sub-relaxation	 1.05	    Compute complete	   216.078	      2297	
            Jacobi method with sub-relaxation	 1.06	    Compute complete	   204.121	      2174	
            Jacobi method with sub-relaxation	 1.07	    Compute complete	   192.598	      2065	
            Jacobi method with sub-relaxation	 1.08	    Compute complete	   187.182	      1968	
            Jacobi method with sub-relaxation	 1.09	    Compute complete	   175.359	      1881	
            Jacobi method with sub-relaxation	  1.1	    Compute complete	   168.019	      1802	
            Jacobi method with sub-relaxation	 1.11	    Compute complete	   163.519	      1731	
            Jacobi method with sub-relaxation	 1.12	    Compute complete	   156.041	      1667	
            Jacobi method with sub-relaxation	 1.13	    Compute complete	   151.812	      1607	
            Jacobi method with sub-relaxation	 1.14	    Compute complete	   144.633	      1553	
            Jacobi method with sub-relaxation	 1.15	    Compute complete	   140.494	      1503	
            Jacobi method with sub-relaxation	 1.16	    Compute complete	     137.8	      1457	
            Jacobi method with sub-relaxation	 1.17	    Compute complete	   131.843	      1414	
            Jacobi method with sub-relaxation	 1.18	    Compute complete	    132.58	      1374	
            Jacobi method with sub-relaxation	 1.19	    Compute complete	   125.356	      1336	
            Jacobi method with sub-relaxation	  1.2	    Compute complete	    123.16	      1302	
            Jacobi method with sub-relaxation	 1.21	    Compute complete	   120.423	      1269	
            Jacobi method with sub-relaxation	 1.22	    Compute complete	   117.918	      1238	
            Jacobi method with sub-relaxation	 1.23	    Compute complete	   113.169	      1209	
            Jacobi method with sub-relaxation	 1.24	    Compute complete	    115.13	      1182	
            Jacobi method with sub-relaxation	 1.25	    Compute complete	   108.103	      1157	
            Jacobi method with sub-relaxation	 1.26	    Compute complete	   107.894	      1132	
            Jacobi method with sub-relaxation	 1.27	    Compute complete	   105.071	      1109	
            Jacobi method with sub-relaxation	 1.28	    Compute complete	   101.688	      1088	
            Jacobi method with sub-relaxation	 1.29	    Compute complete	   99.9841	      1067	
            Jacobi method with sub-relaxation	  1.3	    Compute complete	   97.9561	      1047	
            Jacobi method with sub-relaxation	 1.31	    Compute complete	   96.5232	      1028	
            Jacobi method with sub-relaxation	 1.32	    Compute complete	   94.2164	      1010	
            Jacobi method with sub-relaxation	 1.33	    Compute complete	   94.5884	       993	
            Jacobi method with sub-relaxation	 1.34	    Compute complete	   93.9741	       977	
            Jacobi method with sub-relaxation	 1.35	    Compute complete	   91.9102	       961	
            Jacobi method with sub-relaxation	 1.36	    Compute complete	   88.3989	       946	
            Jacobi method with sub-relaxation	 1.37	    Compute complete	   87.7539	       932	
            Jacobi method with sub-relaxation	 1.38	    Compute complete	   87.3541	       918	
            Jacobi method with sub-relaxation	 1.39	    Compute complete	   85.3105	       905	
            Jacobi method with sub-relaxation	  1.4	    Compute complete	   85.2944	       892	
            Jacobi method with sub-relaxation	 1.41	    Compute complete	   81.8382	       880	
            Jacobi method with sub-relaxation	 1.42	    Compute complete	   81.1543	       868	
            Jacobi method with sub-relaxation	 1.43	    Compute complete	   80.1658	       857	
            Jacobi method with sub-relaxation	 1.44	    Compute complete	   78.9182	       846	
            Jacobi method with sub-relaxation	 1.45	    Compute complete	   82.3918	       835	
            Jacobi method with sub-relaxation	 1.46	    Compute complete	   77.1915	       825	
            Jacobi method with sub-relaxation	 1.47	    Compute complete	   76.5644	       815	
            Jacobi method with sub-relaxation	 1.48	    Compute complete	   75.1747	       806	
            Jacobi method with sub-relaxation	 1.49	    Compute complete	   78.6746	       796	
            Jacobi method with sub-relaxation	  1.5	    Compute complete	   79.5748	       787	
            Jacobi method with sub-relaxation	 1.51	    Compute complete	   72.9035	       779	
