       Gradient method without preconditioner	 1.01	    Compute complete	  0.107888	        41	
       Gradient method without preconditioner	 1.02	    Compute complete	   0.10782	        41	
       Gradient method without preconditioner	 1.03	    Compute complete	  0.107844	        41	
       Gradient method without preconditioner	 1.04	    Compute complete	  0.107895	        41	
       Gradient method without preconditioner	 1.05	    Compute complete	   0.10813	        41	
       Gradient method without preconditioner	 1.06	    Compute complete	  0.108069	        41	
       Gradient method without preconditioner	 1.07	    Compute complete	  0.107883	        41	
       Gradient method without preconditioner	 1.08	    Compute complete	  0.108139	        41	
       Gradient method without preconditioner	 1.09	    Compute complete	  0.107806	        41	
       Gradient method without preconditioner	  1.1	    Compute complete	  0.113962	        41	
       Gradient method without preconditioner	 1.11	    Compute complete	  0.108071	        41	
       Gradient method without preconditioner	 1.12	    Compute complete	  0.107983	        41	
       Gradient method without preconditioner	 1.13	    Compute complete	  0.107966	        41	
       Gradient method without preconditioner	 1.14	    Compute complete	  0.107999	        41	
       Gradient method without preconditioner	 1.15	    Compute complete	   0.10834	        41	
       Gradient method without preconditioner	 1.16	    Compute complete	  0.107796	        41	
       Gradient method without preconditioner	 1.17	    Compute complete	  0.107745	        41	
       Gradient method without preconditioner	 1.18	    Compute complete	  0.107712	        41	
       Gradient method without preconditioner	 1.19	    Compute complete	  0.107899	        41	
       Gradient method without preconditioner	  1.2	    Compute complete	  0.107964	        41	
       Gradient method without preconditioner	 1.21	    Compute complete	  0.107732	        41	
       Gradient method without preconditioner	 1.22	    Compute complete	   0.10775	        41	
       Gradient method without preconditioner	 1.23	    Compute complete	  0.107769	        41	
       Gradient method without preconditioner	 1.24	    Compute complete	  0.107734	        41	
       Gradient method without preconditioner	 1.25	    Compute complete	  0.107607	        41	
       Gradient method without preconditioner	 1.26	    Compute complete	  0.108059	        41	
       Gradient method without preconditioner	 1.27	    Compute complete	  0.107712	        41	
       Gradient method without preconditioner	 1.28	    Compute complete	  0.107876	        41	
       Gradient method without preconditioner	 1.29	    Compute complete	  0.132684	        41	
       Gradient method without preconditioner	  1.3	    Compute complete	  0.108144	        41	
       Gradient method without preconditioner	 1.31	    Compute complete	   0.10809	        41	
       Gradient method without preconditioner	 1.32	    Compute complete	  0.107981	        41	
       Gradient method without preconditioner	 1.33	    Compute complete	  0.107525	        41	
       Gradient method without preconditioner	 1.34	    Compute complete	  0.107637	        41	
       Gradient method without preconditioner	 1.35	    Compute complete	  0.153925	        41	
       Gradient method without preconditioner	 1.36	    Compute complete	  0.122904	        41	
       Gradient method without preconditioner	 1.37	    Compute complete	  0.173309	        41	
       Gradient method without preconditioner	 1.38	    Compute complete	  0.140903	        41	
       Gradient method without preconditioner	 1.39	    Compute complete	  0.142518	        41	
       Gradient method without preconditioner	  1.4	    Compute complete	  0.177853	        41	
       Gradient method without preconditioner	 1.41	    Compute complete	  0.108537	        41	
       Gradient method without preconditioner	 1.42	    Compute complete	  0.107894	        41	
       Gradient method without preconditioner	 1.43	    Compute complete	  0.109258	        41	
       Gradient method without preconditioner	 1.44	    Compute complete	  0.108092	        41	
       Gradient method without preconditioner	 1.45	    Compute complete	  0.108433	        41	
       Gradient method without preconditioner	 1.46	    Compute complete	  0.108172	        41	
       Gradient method without preconditioner	 1.47	    Compute complete	  0.108493	        41	
       Gradient method without preconditioner	 1.48	    Compute complete	  0.108199	        41	
       Gradient method without preconditioner	 1.49	    Compute complete	  0.108128	        41	
       Gradient method without preconditioner	  1.5	    Compute complete	  0.107877	        41	
       Gradient method without preconditioner	 1.51	    Compute complete	  0.108032	        41	
       Gradient method without preconditioner	 1.52	    Compute complete	  0.108413	        41	
       Gradient method without preconditioner	 1.53	    Compute complete	  0.108426	        41	
       Gradient method without preconditioner	 1.54	    Compute complete	  0.108148	        41	
       Gradient method without preconditioner	 1.55	    Compute complete	  0.108597	        41	
       Gradient method without preconditioner	 1.56	    Compute complete	  0.108254	        41	
       Gradient method without preconditioner	 1.57	    Compute complete	  0.108109	        41	
       Gradient method without preconditioner	 1.58	    Compute complete	  0.108382	        41	
       Gradient method without preconditioner	 1.59	    Compute complete	  0.108144	        41	
       Gradient method without preconditioner	  1.6	    Compute complete	  0.108331	        41	
       Gradient method without preconditioner	 1.61	    Compute complete	  0.108117	        41	
       Gradient method without preconditioner	 1.62	    Compute complete	  0.108086	        41	
       Gradient method without preconditioner	 1.63	    Compute complete	  0.108194	        41	
       Gradient method without preconditioner	 1.64	    Compute complete	  0.108176	        41	
       Gradient method without preconditioner	 1.65	    Compute complete	  0.108455	        41	
       Gradient method without preconditioner	 1.66	    Compute complete	  0.108057	        41	
       Gradient method without preconditioner	 1.67	    Compute complete	  0.108449	        41	
       Gradient method without preconditioner	 1.68	    Compute complete	  0.108276	        41	
       Gradient method without preconditioner	 1.69	    Compute complete	  0.108315	        41	
       Gradient method without preconditioner	  1.7	    Compute complete	  0.108444	        41	
       Gradient method without preconditioner	 1.71	    Compute complete	  0.107978	        41	
       Gradient method without preconditioner	 1.72	    Compute complete	  0.108453	        41	
       Gradient method without preconditioner	 1.73	    Compute complete	  0.108227	        41	
       Gradient method without preconditioner	 1.74	    Compute complete	  0.108316	        41	
       Gradient method without preconditioner	 1.75	    Compute complete	  0.108339	        41	
       Gradient method without preconditioner	 1.76	    Compute complete	  0.108397	        41	
       Gradient method without preconditioner	 1.77	    Compute complete	  0.108205	        41	
       Gradient method without preconditioner	 1.78	    Compute complete	  0.108123	        41	
       Gradient method without preconditioner	 1.79	    Compute complete	  0.108032	        41	
       Gradient method without preconditioner	  1.8	    Compute complete	  0.108271	        41	
       Gradient method without preconditioner	 1.81	    Compute complete	  0.108395	        41	
       Gradient method without preconditioner	 1.82	    Compute complete	  0.108137	        41	
       Gradient method without preconditioner	 1.83	    Compute complete	   0.10829	        41	
       Gradient method without preconditioner	 1.84	    Compute complete	  0.108305	        41	
       Gradient method without preconditioner	 1.85	    Compute complete	  0.108341	        41	
       Gradient method without preconditioner	 1.86	    Compute complete	  0.107968	        41	
       Gradient method without preconditioner	 1.87	    Compute complete	  0.108325	        41	
       Gradient method without preconditioner	 1.88	    Compute complete	  0.143816	        41	
       Gradient method without preconditioner	 1.89	    Compute complete	  0.108955	        41	
       Gradient method without preconditioner	  1.9	    Compute complete	   0.10806	        41	
       Gradient method without preconditioner	 1.91	    Compute complete	  0.139648	        41	
       Gradient method without preconditioner	 1.92	    Compute complete	  0.108899	        41	
       Gradient method without preconditioner	 1.93	    Compute complete	  0.199805	        41	
       Gradient method without preconditioner	 1.94	    Compute complete	  0.200445	        41	
       Gradient method without preconditioner	 1.95	    Compute complete	   0.20095	        41	
       Gradient method without preconditioner	 1.96	    Compute complete	  0.201435	        41	
       Gradient method without preconditioner	 1.97	    Compute complete	   0.20152	        41	
       Gradient method without preconditioner	 1.98	    Compute complete	  0.201405	        41	
       Gradient method without preconditioner	 1.99	    Compute complete	  0.201011	        41	
          Gradient method with preconditioner	  0.1	    Compute complete	  0.114943	         2	
          Gradient method with preconditioner	 0.11	    Compute complete	  0.047653	         2	
          Gradient method with preconditioner	 0.12	    Compute complete	  0.047366	         2	
          Gradient method with preconditioner	 0.13	    Compute complete	  0.046883	         2	
          Gradient method with preconditioner	 0.14	    Compute complete	  0.048646	         2	
          Gradient method with preconditioner	 0.15	    Compute complete	  0.037648	         2	
          Gradient method with preconditioner	 0.16	    Compute complete	   0.05839	         2	
          Gradient method with preconditioner	 0.17	    Compute complete	  0.052186	         2	
          Gradient method with preconditioner	 0.18	    Compute complete	  0.043896	         2	
          Gradient method with preconditioner	 0.19	    Compute complete	   0.04651	         2	
          Gradient method with preconditioner	  0.2	    Compute complete	  0.044042	         2	
          Gradient method with preconditioner	 0.21	    Compute complete	  0.040845	         2	
          Gradient method with preconditioner	 0.22	    Compute complete	  0.043309	         2	
          Gradient method with preconditioner	 0.23	    Compute complete	  0.046368	         2	
          Gradient method with preconditioner	 0.24	    Compute complete	   0.04649	         2	
          Gradient method with preconditioner	 0.25	    Compute complete	  0.062398	         2	
          Gradient method with preconditioner	 0.26	    Compute complete	  0.042161	         2	
          Gradient method with preconditioner	 0.27	    Compute complete	  0.049029	         2	
          Gradient method with preconditioner	 0.28	    Compute complete	  0.051599	         2	
          Gradient method with preconditioner	 0.29	    Compute complete	  0.048836	         2	
          Gradient method with preconditioner	  0.3	    Compute complete	  0.044179	         2	
          Gradient method with preconditioner	 0.31	    Compute complete	  0.041687	         2	
