       Gradient method without preconditioner	 1.01	    Compute complete	   602.108	      7227	
       Gradient method without preconditioner	 1.02	    Compute complete	   601.132	      7227	
       Gradient method without preconditioner	 1.03	    Compute complete	    606.33	      7227	
       Gradient method without preconditioner	 1.04	    Compute complete	   602.475	      7227	
       Gradient method without preconditioner	 1.05	    Compute complete	   609.548	      7227	
       Gradient method without preconditioner	 1.06	    Compute complete	   673.053	      7227	
       Gradient method without preconditioner	 1.07	    Compute complete	   652.227	      7227	
       Gradient method without preconditioner	 1.08	    Compute complete	    641.29	      7227	
       Gradient method without preconditioner	 1.09	    Compute complete	   602.728	      7227	
       Gradient method without preconditioner	  1.1	    Compute complete	   601.286	      7227	
       Gradient method without preconditioner	 1.11	    Compute complete	   610.815	      7227	
       Gradient method without preconditioner	 1.12	    Compute complete	   600.351	      7227	
       Gradient method without preconditioner	 1.13	    Compute complete	   602.686	      7227	
       Gradient method without preconditioner	 1.14	    Compute complete	   608.292	      7227	
       Gradient method without preconditioner	 1.15	    Compute complete	   609.236	      7227	
       Gradient method without preconditioner	 1.16	    Compute complete	   634.838	      7227	
       Gradient method without preconditioner	 1.17	    Compute complete	   705.011	      7227	
       Gradient method without preconditioner	 1.18	    Compute complete	   644.748	      7227	
       Gradient method without preconditioner	 1.19	    Compute complete	   603.007	      7227	
       Gradient method without preconditioner	  1.2	    Compute complete	   601.009	      7227	
       Gradient method without preconditioner	 1.21	    Compute complete	   600.473	      7227	
       Gradient method without preconditioner	 1.22	    Compute complete	   600.141	      7227	
       Gradient method without preconditioner	 1.23	    Compute complete	   603.223	      7227	
       Gradient method without preconditioner	 1.24	    Compute complete	   601.999	      7227	
       Gradient method without preconditioner	 1.25	    Compute complete	   602.347	      7227	
       Gradient method without preconditioner	 1.26	    Compute complete	   602.132	      7227	
       Gradient method without preconditioner	 1.27	    Compute complete	   601.971	      7227	
       Gradient method without preconditioner	 1.28	    Compute complete	   602.299	      7227	
       Gradient method without preconditioner	 1.29	    Compute complete	   600.785	      7227	
       Gradient method without preconditioner	  1.3	    Compute complete	   600.684	      7227	
       Gradient method without preconditioner	 1.31	    Compute complete	   604.005	      7227	
       Gradient method without preconditioner	 1.32	    Compute complete	   602.652	      7227	
       Gradient method without preconditioner	 1.33	    Compute complete	   600.842	      7227	
       Gradient method without preconditioner	 1.34	    Compute complete	   598.355	      7227	
       Gradient method without preconditioner	 1.35	    Compute complete	   599.406	      7227	
       Gradient method without preconditioner	 1.36	    Compute complete	   602.141	      7227	
       Gradient method without preconditioner	 1.37	    Compute complete	   599.714	      7227	
       Gradient method without preconditioner	 1.38	    Compute complete	   599.335	      7227	
       Gradient method without preconditioner	 1.39	    Compute complete	    619.76	      7227	
       Gradient method without preconditioner	  1.4	    Compute complete	   617.292	      7227	
       Gradient method without preconditioner	 1.41	    Compute complete	   750.298	      7227	
       Gradient method without preconditioner	 1.42	    Compute complete	   830.043	      7227	
       Gradient method without preconditioner	 1.43	    Compute complete	   642.629	      7227	
       Gradient method without preconditioner	 1.44	    Compute complete	   659.941	      7227	
       Gradient method without preconditioner	 1.45	    Compute complete	   645.179	      7227	
       Gradient method without preconditioner	 1.46	    Compute complete	   701.526	      7227	
       Gradient method without preconditioner	 1.47	    Compute complete	   599.317	      7227	
       Gradient method without preconditioner	 1.48	    Compute complete	   624.236	      7227	
       Gradient method without preconditioner	 1.49	    Compute complete	   620.078	      7227	
       Gradient method without preconditioner	  1.5	    Compute complete	   598.699	      7227	
       Gradient method without preconditioner	 1.51	    Compute complete	   599.481	      7227	
       Gradient method without preconditioner	 1.52	    Compute complete	   599.033	      7227	
